ticker,company,sector,country,revenue,prior_revenue,ebitda,prior_ebitda,ebit,net_income,interest_expense,da,total_debt,cash,total_assets,total_equity,invested_capital,capex,operating_cash_flow,free_cash_flow,enterprise_value,market_cap
CACI,CACI International,Business Services,US,8627824000.0,7659832000.0,959310000.0,791853000.0,764185000.0,499830000.0,158844000.0,195125000.0,3335029000.0,106181000.0,8647598000.0,3893945000.0,6811885000.0,65603000.0,547009000.0,481406000.0,15414671360,12449087488
EXLS,ExlService Holdings,Business Services,US,2087679000.0,1838372000.0,416550000.0,357588000.0,332663000.0,251019000.0,17611000.0,83887000.0,403622000.0,146326000.0,1702235000.0,912705000.0,1211303000.0,52598000.0,350717000.0,298119000.0,4743904768,4735634432
WEX,WEX Inc,Business Services,US,2660800000.0,2628200000.0,991900000.0,975000000.0,660800000.0,304100000.0,240600000.0,331100000.0,4858300000.0,905800000.0,14399500000.0,1234500000.0,6092800000.0,213700000.0,454300000.0,240600000.0,4745731584,5062531584
CPRT,Copart Inc,Business Services,US,4646958000.0,4236823000.0,1914498000.0,1762279000.0,1696714000.0,1552449000.0,,217784000.0,103739000.0,2780531000.0,10090902000.0,9187033000.0,9187033000.0,568990000.0,1799750000.0,1230760000.0,26252595200,31392813056
CBRE,CBRE Group,Business Services,US,40550000000.0,35767000000.0,2023000000.0,1945000000.0,1294000000.0,1157000000.0,,729000000.0,9991000000.0,1864000000.0,30877000000.0,8878000000.0,16464000000.0,366000000.0,1559000000.0,1193000000.0,47398481920,39213830144
BALL,Ball Corporation,Packaging,US,13161000000.0,11795000000.0,2064000000.0,1448000000.0,1442000000.0,912000000.0,314000000.0,622000000.0,7012000000.0,1212000000.0,19524000000.0,5421000000.0,12433000000.0,474000000.0,1262000000.0,788000000.0,21929394176,15774892032
SEE,Sealed Air Corp,Packaging,US,5359800000.0,5392600000.0,985000000.0,987300000.0,741400000.0,505500000.0,264900000.0,243600000.0,4100100000.0,344000000.0,7012800000.0,1237500000.0,5240300000.0,169500000.0,628000000.0,458500000.0,9945793536,6189693440
SLGN,Silgan Holdings,Packaging,US,6483166000.0,5854694000.0,917030000.0,789923000.0,597867000.0,288403000.0,189365000.0,319163000.0,4346848000.0,1080659000.0,9397083000.0,2274301000.0,6621149000.0,307092000.0,729841000.0,422749000.0,7551619072,4015230208
GPK,Graphic Packaging,Packaging,US,8617000000.0,8807000000.0,1338000000.0,1673000000.0,802000000.0,444000000.0,220000000.0,536000000.0,5638000000.0,261000000.0,11775000000.0,3336000000.0,8900000000.0,922000000.0,841000000.0,-81000000.0,8335688704,2729688320
ATR,AptarGroup,Packaging,US,3777181000.0,3582890000.0,831478000.0,777447000.0,544115000.0,392789000.0,52737000.0,287363000.0,1530904000.0,402424000.0,5252719000.0,2668096000.0,4151060000.0,275439000.0,569999000.0,294560000.0,9036929024,7853683712
SON,Sonoco Products,Packaging,US,7518753000.0,5305365000.0,1517942000.0,610965000.0,998586000.0,1003011000.0,233485000.0,519356000.0,4590117000.0,378398000.0,11162334000.0,3613881000.0,7940806000.0,344023000.0,689782000.0,345759000.0,9530523648,5246333952
OI,O-I Glass,Packaging,US,6426000000.0,6531000000.0,771000000.0,859000000.0,292000000.0,-129000000.0,341000000.0,479000000.0,4999000000.0,759000000.0,9243000000.0,1294000000.0,6293000000.0,432000000.0,600000000.0,168000000.0,6148706304,1574343808
STGW,Stagwell Inc,Packaging,US,2909000000.0,2841216000.0,403968000.0,356809000.0,165224000.0,29101000.0,96438000.0,238744000.0,1605796000.0,104537000.0,4214547000.0,758393000.0,2084406000.0,111230000.0,291028000.0,179798000.0,3085192448,1540991488
WSC,WillScot Mobile Mini,Infrastructure,US,2281446000.0,2395718000.0,606111000.0,648887000.0,176090000.0,-52990000.0,231511000.0,430021000.0,3900853000.0,14587000.0,5816167000.0,856254000.0,4444422000.0,342016000.0,761985000.0,419969000.0,6985249280,3113091072
ROAD,Construction Partners,Infrastructure,US,2812356000.0,1823889000.0,373167000.0,204090000.0,224897000.0,101781000.0,90358000.0,148270000.0,1689182000.0,156062000.0,3238856000.0,911963000.0,2524077000.0,137931000.0,291303000.0,153372000.0,7897852416,6162436608
PRIM,Primoris Services,Infrastructure,US,7574900000.0,6366800000.0,504600000.0,415700000.0,412700000.0,274900000.0,28700000.0,91900000.0,950900000.0,535500000.0,4407800000.0,1681000000.0,2150900000.0,129900000.0,470400000.0,340500000.0,8172508160,7782224384
MYRG,MYR Group,Infrastructure,US,3657889000.0,3362290000.0,233444000.0,118207000.0,166932000.0,118416000.0,5648000.0,66512000.0,103509000.0,150156000.0,1644079000.0,660423000.0,719460000.0,94372000.0,326567000.0,232195000.0,4203096832,4249743872
IESC,IES Holdings,Infrastructure,US,3371468000.0,2884358000.0,442165000.0,342820000.0,395224000.0,305975000.0,1339000.0,46941000.0,88095000.0,127171000.0,1595661000.0,883955000.0,883955000.0,67253000.0,286096000.0,218843000.0,9254260736,9443082240
WLDN,Willdan Group,Infrastructure,US,681552000.0,565798000.0,64428000.0,49225000.0,45742000.0,52557000.0,5748000.0,18686000.0,69281000.0,65919000.0,544211000.0,304851000.0,353313000.0,9387000.0,80084000.0,70697000.0,1183943680,1180581632
EXPO,Exponent Inc,Infrastructure,US,582014000.0,558514000.0,129870000.0,129246000.0,119787000.0,106009000.0,,10083000.0,82834000.0,221930000.0,777519000.0,390341000.0,390341000.0,9390000.0,131730000.0,122340000.0,3036331264,3216229376
TRU,TransUnion,Infrastructure,US,4576300000.0,4183800000.0,1453600000.0,1204100000.0,878800000.0,455400000.0,235800000.0,574800000.0,5158400000.0,853600000.0,11112900000.0,4439200000.0,9543000000.0,326000000.0,987600000.0,661600000.0,17073575936,12687767552
HURN,Huron Consulting,Infrastructure,US,1699143000.0,1521805000.0,220135000.0,204032000.0,187706000.0,105040000.0,,32429000.0,548340000.0,24508000.0,1526683000.0,528629000.0,1038294000.0,31084000.0,193394000.0,162310000.0,2478539008,2032967936
PSX,Phillips 66,Energy,US,132376000000.0,143153000000.0,9757000000.0,5985000000.0,6506000000.0,4403000000.0,1086000000.0,3251000000.0,19716000000.0,1116000000.0,73680000000.0,29093000000.0,48809000000.0,2233000000.0,4962000000.0,2729000000.0,97070088192,75452088320
VLO,Valero Energy,Energy,US,122687000000.0,129881000000.0,6719000000.0,7028000000.0,3561000000.0,2348000000.0,556000000.0,3158000000.0,11703000000.0,4688000000.0,57988000000.0,23725000000.0,34344000000.0,796000000.0,5826000000.0,5030000000.0,85943353344,76048359424
MPC,Marathon Petroleum,Energy,US,132699000000.0,138864000000.0,11678000000.0,10602000000.0,8427000000.0,4047000000.0,1412000000.0,3251000000.0,34358000000.0,3672000000.0,83955000000.0,17314000000.0,50190000000.0,3486000000.0,8253000000.0,4767000000.0,111705997312,74247995392
TRGP,Targa Resources,Energy,US,17028300000.0,16381500000.0,4854500000.0,4128200000.0,3339200000.0,1923000000.0,852800000.0,1515300000.0,17522000000.0,166100000.0,25218400000.0,3067900000.0,20146900000.0,3333300000.0,3917400000.0,584100000.0,71297892352,53787385856
DT,Dynatrace Inc,Energy,US,1698683000.0,1430530000.0,227537000.0,183340000.0,179433000.0,483684000.0,,48104000.0,75363000.0,1017039000.0,4139678000.0,2621148000.0,2621148000.0,28802000.0,459419000.0,430617000.0,9607702528,10826442752
WTTR,Select Water Solutions,Energy,US,1407344000.0,1452075000.0,227750000.0,213282000.0,47932000.0,21223000.0,23181000.0,179818000.0,352723000.0,18084000.0,1595612000.0,805616000.0,1121909000.0,294562000.0,214673000.0,-79889000.0,2099134848,2155188224
NGL,NGL Energy Partners,Energy,US,3469186000.0,4153307000.0,594991000.0,380410000.0,327745000.0,39368000.0,267641000.0,267246000.0,3083659000.0,5649000.0,4609440000.0,0.0,3639785000.0,245816000.0,297463000.0,51647000.0,5333944320,1498695168
CIVI,Civitas Resources,Energy,US,5202408000.0,3473821000.0,3535567000.0,2337353000.0,1479140000.0,838723000.0,396445000.0,2056427000.0,4493531000.0,75826000.0,14944120000.0,6628746000.0,11122277000.0,1971866000.0,2865228000.0,893362000.0,7418600960,2336025856
DINO,HF Sinclair,Energy,US,26869000000.0,28580000000.0,1858000000.0,1215000000.0,949000000.0,579000000.0,217000000.0,909000000.0,3232000000.0,978000000.0,16510000000.0,9184000000.0,11953000000.0,521000000.0,1315000000.0,794000000.0,13903612928,11696991232
PARR,Par Pacific Holdings,Energy,US,7464650000.0,7974457000.0,704579000.0,175365000.0,560254000.0,369391000.0,82383000.0,144325000.0,1226880000.0,164113000.0,3833689000.0,1511540000.0,2314410000.0,148873000.0,445337000.0,296464000.0,4322174464,3248744960
RBA,RB Global Inc,Specialty,US,4590700000.0,4284200000.0,1370900000.0,1382600000.0,727200000.0,428400000.0,191600000.0,643700000.0,4188500000.0,531500000.0,12143000000.0,6053400000.0,8042900000.0,375500000.0,978200000.0,602700000.0,21974198272,17590358016
ARMK,Aramark Holdings,Specialty,US,18506299000.0,17400701000.0,1271177000.0,1189604000.0,794832000.0,326394000.0,364376000.0,476345000.0,5721986000.0,639095000.0,13304629000.0,3148059000.0,8553996000.0,489240000.0,921035000.0,431795000.0,16627268608,10471386112
ABM,ABM Industries,Specialty,US,8745900000.0,8359400000.0,421900000.0,325200000.0,316300000.0,162400000.0,96400000.0,105600000.0,1678400000.0,104100000.0,5269500000.0,1785600000.0,3352100000.0,79300000.0,234400000.0,155100000.0,3830195456,2196852992
BFAM,Bright Horizons,Specialty,US,2933607000.0,2686013000.0,408067000.0,344537000.0,314665000.0,193116000.0,44758000.0,93402000.0,1760240000.0,140091000.0,3889603000.0,1339291000.0,2286457000.0,92177000.0,350726000.0,258549000.0,5916699136,4410641920
LRN,Stride Inc,Specialty,US,2405317000.0,2040069000.0,508392000.0,386183000.0,393723000.0,287941000.0,10504000.0,114669000.0,549760000.0,782497000.0,2293959000.0,1479619000.0,1895941000.0,60010000.0,432816000.0,372806000.0,3677810432,3754737152
STRA,Strategic Education,Specialty,US,1268220000.0,1219930000.0,244550000.0,201654000.0,196140000.0,126614000.0,,48410000.0,109121000.0,140757000.0,2038540000.0,1646406000.0,1646406000.0,44252000.0,198198000.0,153946000.0,1792729472,1851617664
ADUS,Addus HomeCare,Specialty,US,1422530000.0,1154599000.0,157469000.0,120615000.0,141057000.0,95910000.0,13612000.0,16412000.0,171362000.0,81617000.0,1437308000.0,1085303000.0,1206262000.0,7719000.0,111507000.0,103788000.0,1816231808,1774685824
